ANT1,20.87,11.31,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,0.04,-0.88,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-6.53,4.16,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,-2.68,-0.02,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,-1.25,-0.52,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,2.68,-2.36,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,3.59,-2.29,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,10.46,-2.34,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,-1.23,0.33,180.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,-2.68,1.06,180.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,12.04,0.54,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,12.11,2.66,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-6.31,-11.12,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,1.59,-2.47,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-14.84,8.47,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C20,9.08,5.34,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,7.39,6.95,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,-1.51,3.26,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-6.34,-7.26,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-7.27,-7.30,90.00,10uF,GRM011R60J152KE01L_2_CAPC0201X13N
C25,-2.38,-5.39,0.00,,NORDIC_NRF_3_RESC0402_L
C26,13.13,-11.15,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C27,18.10,-9.53,180.00,0.1uF,NORDIC_NRF_3_RESC0402_L
C28,13.12,-7.26,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,9.66,-10.87,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,-1.53,2.01,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-10.51,-11.92,0.00,1uF,NORDIC_NRF_3_RESC0402_L
